grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE122,16092,8936,25028,0.5553069848371862
CWE121,13387,7610,20997,0.5684619406887279
CWE190,11777,6965,18742,0.591406979706207
CWE134,11286,7080,18366,0.6273258904837852
CWE78,11520,6500,18020,0.5642361111111112
CWE762,10264,5092,15356,0.4961028838659392
CWE191,8981,5118,14099,0.5698697249749471
CWE36,6410,4000,10410,0.62402496099844
CWE23,6408,3250,9658,0.5071785268414482
CWE124,6068,3400,9468,0.5603164139749506
CWE127,6068,3400,9468,0.5603164139749506
CWE590,5159,4020,9179,0.7792207792207793
CWE401,4860,2730,7590,0.5617283950617284
CWE126,4120,2502,6622,0.6072815533980582
CWE789,4304,1300,5604,0.3020446096654275
CWE457,3791,1220,5011,0.32181482458454236
CWE194,3108,1560,4668,0.5019305019305019
CWE195,3108,1560,4668,0.5019305019305019
CWE369,2499,1674,4173,0.6698679471788715
CWE415,2680,1490,4170,0.5559701492537313
CWE400,2599,1395,3994,0.5367449018853405
CWE690,1586,1562,3148,0.9848675914249685
CWE606,1976,930,2906,0.4706477732793522
CWE197,1719,1170,2889,0.680628272251309
CWE761,1620,960,2580,0.5925925925925926
CWE253,665,1843,2508,2.7714285714285714
CWE416,1854,648,2502,0.34951456310679613
CWE114,1614,780,2394,0.483271375464684
CWE680,1572,780,2352,0.4961832061068702
CWE758,558,1573,2131,2.8189964157706093
CWE252,326,1696,2022,5.2024539877300615
CWE90,1370,650,2020,0.4744525547445255
CWE563,1151,651,1802,0.5655951346655083
CWE427,890,650,1540,0.7303370786516854
CWE476,763,715,1478,0.9370904325032765
CWE404,820,488,1308,0.5951219512195122
CWE319,766,320,1086,0.4177545691906005
CWE272,252,686,938,2.7222222222222223
CWE617,491,437,928,0.890020366598778
CWE284,216,588,804,2.7222222222222223
CWE675,503,264,767,0.5248508946322068
CWE665,489,265,754,0.5419222903885481
CWE426,488,260,748,0.5327868852459017
CWE123,409,228,637,0.5574572127139364
CWE398,150,458,608,3.0533333333333332
CWE256,390,212,602,0.5435897435897435
CWE773,345,240,585,0.6956521739130435
CWE377,144,392,536,2.7222222222222223
CWE506,141,313,454,2.219858156028369
CWE775,266,183,449,0.6879699248120301
CWE591,330,104,434,0.3151515151515151
CWE321,244,160,404,0.6557377049180327
CWE259,244,160,404,0.6557377049180327
CWE390,72,263,335,3.6527777777777777
CWE666,85,240,325,2.823529411764706
CWE843,150,120,270,0.8
CWE588,150,120,270,0.8
CWE325,54,214,268,3.962962962962963
CWE244,72,196,268,2.7222222222222223
CWE226,0,268,268,
CWE511,71,195,266,2.7464788732394365
CWE176,172,93,265,0.5406976744186046
CWE546,85,165,250,1.9411764705882353
CWE672,155,85,240,0.5483870967741935
CWE366,36,170,206,4.722222222222222
CWE681,54,147,201,2.7222222222222223
CWE510,69,132,201,1.9130434782608696
CWE467,54,147,201,2.7222222222222223
CWE396,54,147,201,2.7222222222222223
CWE391,52,147,199,2.826923076923077
CWE464,137,60,197,0.43795620437956206
CWE327,51,144,195,2.823529411764706
CWE328,51,144,195,2.823529411764706
CWE15,115,65,180,0.5652173913043478
CWE468,36,99,135,2.75
CWE469,36,98,134,2.7222222222222223
CWE367,36,98,134,2.7222222222222223
CWE475,36,98,134,2.7222222222222223
CWE459,0,134,134,
CWE535,36,98,134,2.7222222222222223
CWE534,36,98,134,2.7222222222222223
CWE188,36,98,134,2.7222222222222223
CWE273,20,112,132,5.6
CWE480,17,84,101,4.9411764705882355
CWE483,20,53,73,2.65
CWE667,0,67,67,
CWE676,18,49,67,2.7222222222222223
CWE364,18,49,67,2.7222222222222223
CWE620,18,49,67,2.7222222222222223
CWE688,18,49,67,2.7222222222222223
CWE482,18,49,67,2.7222222222222223
CWE615,18,49,67,2.7222222222222223
CWE242,18,49,67,2.7222222222222223
CWE780,18,49,67,2.7222222222222223
CWE785,18,49,67,2.7222222222222223
CWE196,18,49,67,2.7222222222222223
CWE832,18,49,67,2.7222222222222223
CWE478,0,67,67,
CWE481,18,49,67,2.7222222222222223
CWE484,18,49,67,2.7222222222222223
CWE338,17,49,66,2.8823529411764706
CWE685,17,48,65,2.823529411764706
CWE605,17,48,65,2.823529411764706
CWE223,17,48,65,2.823529411764706
CWE222,17,48,65,2.823529411764706
CWE587,17,48,65,2.823529411764706
CWE247,17,48,65,2.823529411764706
CWE479,18,35,53,1.9444444444444444
CWE397,2,35,37,17.5
CWE526,2,33,35,16.5
CWE571,4,20,24,5.0
CWE570,4,20,24,5.0
CWE835,6,13,19,2.1666666666666665
main,0,16,16,
CWE562,1,6,7,6.0
CWE674,1,4,5,4.0
CWE561,0,2,2,
CWE500,0,2,2,
CWE440,0,1,1,
