grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE122,7415,1681,9096,0.22670262980445044
CWE121,6328,811,7139,0.1281605562579014
CWE78,5527,1023,6550,0.18509136963994935
CWE190,3178,2404,5582,0.7564505978602895
CWE134,3105,1137,4242,0.36618357487922704
CWE191,2379,1723,4102,0.7242538881883144
CWE762,2979,1041,4020,0.34944612286002014
CWE36,3151,469,3620,0.1488416375753729
CWE23,3216,363,3579,0.11287313432835822
CWE124,2787,387,3174,0.13885898815931108
CWE127,2787,385,3172,0.13814137064944385
CWE590,2603,278,2881,0.10679984633115636
CWE126,1875,303,2178,0.1616
CWE401,1322,602,1924,0.45537065052950076
CWE195,1498,302,1800,0.20160213618157544
CWE194,1482,318,1800,0.2145748987854251
CWE789,1317,261,1578,0.19817767653758542
CWE690,653,715,1368,1.0949464012251149
CWE369,620,674,1294,1.0870967741935484
CWE400,775,377,1152,0.4864516129032258
CWE415,720,364,1084,0.5055555555555555
CWE197,814,266,1080,0.32678132678132676
CWE457,900,152,1052,0.1688888888888889
CWE761,768,140,908,0.18229166666666666
CWE114,782,126,908,0.16112531969309463
CWE680,776,124,900,0.15979381443298968
CWE606,630,169,799,0.26825396825396824
CWE90,671,89,760,0.13263785394932937
CWE253,394,290,684,0.7360406091370558
CWE252,213,417,630,1.9577464788732395
CWE563,343,261,604,0.760932944606414
CWE758,319,262,581,0.8213166144200627
CWE427,432,138,570,0.3194444444444444
CWE416,463,26,489,0.056155507559395246
CWE404,349,127,476,0.3638968481375358
CWE476,211,263,474,1.2464454976303319
CWE617,224,124,348,0.5535714285714286
CWE319,243,57,300,0.2345679012345679
CWE665,233,65,298,0.27896995708154504
CWE426,225,71,296,0.31555555555555553
CWE272,155,97,252,0.6258064516129033
CWE123,201,26,227,0.12935323383084577
CWE773,174,50,224,0.28735632183908044
CWE675,126,98,224,0.7777777777777778
CWE284,129,87,216,0.6744186046511628
CWE398,113,68,181,0.6017699115044248
CWE775,107,61,168,0.5700934579439252
CWE256,120,38,158,0.31666666666666665
CWE591,138,14,152,0.10144927536231885
CWE259,109,43,152,0.3944954128440367
CWE321,109,43,152,0.3944954128440367
CWE377,68,76,144,1.1176470588235294
CWE506,112,30,142,0.26785714285714285
CWE390,49,41,90,0.8367346938775511
CWE546,53,37,90,0.6981132075471698
CWE666,54,31,85,0.5740740740740741
CWE588,76,8,84,0.10526315789473684
CWE843,72,12,84,0.16666666666666666
CWE176,54,24,78,0.4444444444444444
CWE672,56,21,77,0.375
CWE464,68,8,76,0.11764705882352941
CWE244,47,25,72,0.5319148936170213
CWE226,0,72,72,
CWE325,36,36,72,1.0
CWE511,53,19,72,0.3584905660377358
CWE510,54,15,69,0.2777777777777778
CWE15,55,10,65,0.18181818181818182
CWE467,34,20,54,0.5882352941176471
CWE396,27,27,54,1.0
CWE391,28,26,54,0.9285714285714286
CWE681,32,22,54,0.6875
CWE327,33,18,51,0.5454545454545454
CWE328,28,23,51,0.8214285714285714
CWE468,24,13,37,0.5416666666666666
CWE475,25,11,36,0.44
CWE469,27,9,36,0.3333333333333333
CWE367,21,15,36,0.7142857142857143
CWE459,0,36,36,
CWE535,25,11,36,0.44
CWE534,20,16,36,0.8
CWE188,22,14,36,0.6363636363636364
CWE273,14,22,36,1.5714285714285714
CWE366,32,4,36,0.125
CWE397,2,18,20,9.0
CWE483,15,5,20,0.3333333333333333
CWE667,0,18,18,
CWE338,10,8,18,0.8
CWE196,11,7,18,0.6363636363636364
CWE780,12,6,18,0.5
CWE688,9,9,18,1.0
CWE685,9,9,18,1.0
CWE785,12,6,18,0.5
CWE676,10,8,18,0.8
CWE832,11,7,18,0.6363636363636364
CWE364,2,16,18,8.0
CWE480,0,18,18,
CWE620,11,7,18,0.6363636363636364
CWE526,2,16,18,8.0
CWE481,14,4,18,0.2857142857142857
CWE482,12,6,18,0.5
CWE484,12,6,18,0.5
CWE615,13,5,18,0.38461538461538464
CWE479,5,13,18,2.6
CWE478,0,18,18,
CWE242,9,9,18,1.0
CWE587,13,5,18,0.38461538461538464
CWE247,11,6,17,0.5454545454545454
CWE605,12,5,17,0.4166666666666667
CWE223,9,8,17,0.8888888888888888
CWE222,9,8,17,0.8888888888888888
CWE571,4,12,16,3.0
CWE570,4,12,16,3.0
CWE835,6,0,6,0.0
CWE562,1,2,3,2.0
CWE674,1,1,2,1.0
CWE561,0,2,2,
CWE500,0,2,2,
CWE440,0,1,1,
