grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE197,4875,0,4875,0.0
CWE190,3448,1172,4620,0.339907192575406
CWE129,2767,397,3164,0.14347668955547524
CWE191,2396,684,3080,0.2854757929883139
CWE369,1522,578,2100,0.3797634691195795
CWE400,1486,65,1551,0.04374158815612382
CWE89,1397,28,1425,0.020042949176807445
CWE789,1285,16,1301,0.012451361867704281
CWE113,1083,150,1233,0.13850415512465375
CWE80,676,0,676,0.0
CWE134,521,1,522,0.0019193857965451055
CWE313,509,11,520,0.021611001964636542
CWE643,509,11,520,0.021611001964636542
CWE606,510,10,520,0.0196078431372549
CWE314,509,11,520,0.021611001964636542
CWE94,510,10,520,0.0196078431372549
CWE117,508,12,520,0.023622047244094488
CWE23,512,0,512,0.0
CWE15,512,0,512,0.0
CWE90,512,0,512,0.0
CWE36,512,0,512,0.0
CWE78,512,0,512,0.0
CWE601,467,0,467,0.0
CWE81,412,0,412,0.0
CWE427,342,38,380,0.1111111111111111
CWE83,338,0,338,0.0
CWE470,338,0,338,0.0
CWE319,215,1,216,0.004651162790697674
CWE476,144,70,214,0.4861111111111111
CWE563,196,0,196,0.0
CWE398,114,16,130,0.14035087719298245
CWE690,97,33,130,0.3402061855670103
CWE259,100,0,100,0.0
CWE506,80,2,82,0.025
CWE546,15,60,75,4.0
CWE510,65,1,66,0.015384615384615385
CWE256,53,1,54,0.018867924528301886
CWE675,52,2,54,0.038461538461538464
CWE321,42,11,53,0.2619047619047619
CWE315,37,15,52,0.40540540540540543
CWE681,49,2,51,0.04081632653061224
CWE511,49,2,51,0.04081632653061224
CWE193,34,16,50,0.47058823529411764
CWE477,32,15,47,0.46875
CWE566,43,0,43,0.0
CWE327,33,1,34,0.030303030303030304
CWE390,0,34,34,
CWE284,6,28,34,4.666666666666667
CWE325,16,18,34,1.125
CWE209,0,34,34,
CWE328,34,0,34,0.0
CWE617,4,25,29,6.25
CWE483,18,1,19,0.05555555555555555
CWE532,17,0,17,0.0
CWE760,16,1,17,0.0625
CWE605,17,0,17,0.0
CWE226,2,15,17,7.5
CWE759,17,0,17,0.0
CWE614,16,1,17,0.0625
CWE615,16,1,17,0.0625
CWE535,17,0,17,0.0
CWE523,16,1,17,0.0625
CWE395,17,0,17,0.0
CWE426,17,0,17,0.0
CWE261,16,1,17,0.0625
CWE253,17,0,17,0.0
CWE252,0,17,17,
CWE329,17,0,17,0.0
CWE338,2,15,17,7.5
CWE350,16,1,17,0.0625
CWE378,17,0,17,0.0
CWE379,16,1,17,0.0625
CWE396,16,1,17,0.0625
CWE478,0,17,17,
CWE114,3,14,17,4.666666666666667
CWE440,15,2,17,0.13333333333333333
CWE482,16,1,17,0.0625
CWE486,16,1,17,0.0625
CWE459,0,17,17,
CWE481,16,1,17,0.0625
CWE598,15,1,16,0.06666666666666667
CWE613,15,1,16,0.06666666666666667
CWE336,15,1,16,0.06666666666666667
CWE549,15,1,16,0.06666666666666667
CWE539,3,12,15,4.0
CWE698,3,12,15,4.0
CWE526,2,12,14,6.0
CWE835,6,0,6,0.0
CWE404,4,0,4,0.0
CWE571,2,1,3,0.5
CWE570,2,1,3,0.5
CWE674,1,1,2,1.0
CWE772,0,2,2,
CWE833,1,0,1,0.0
CWE832,1,0,1,0.0
CWE609,0,1,1,
CWE775,0,1,1,
CWE765,0,1,1,
CWE366,0,1,1,
CWE248,0,1,1,
CWE667,0,1,1,
CWE397,0,1,1,
CWE764,1,0,1,0.0
