grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE190,16451,3565,20016,0.2167041517232995
CWE191,13289,2852,16141,0.21461359018737303
CWE129,11130,2232,13362,0.20053908355795147
CWE89,9261,1860,11121,0.20084224165856818
CWE369,5924,1650,7574,0.2785280216070223
CWE400,5615,1239,6854,0.22065894924309884
CWE113,5610,1116,6726,0.19893048128342247
CWE789,3155,534,3689,0.16925515055467513
CWE197,3114,396,3510,0.12716763005780346
CWE134,2828,558,3386,0.19731258840169733
CWE606,1869,372,2241,0.19903691813804172
CWE643,1867,372,2239,0.19925013390465987
CWE80,1926,216,2142,0.11214953271028037
CWE319,1766,157,1923,0.08890147225368063
CWE78,1285,144,1429,0.11206225680933853
CWE470,1285,144,1429,0.11206225680933853
CWE90,1285,144,1429,0.11206225680933853
CWE15,1285,144,1429,0.11206225680933853
CWE36,1270,144,1414,0.11338582677165354
CWE23,1262,144,1406,0.11410459587955626
CWE690,1086,248,1334,0.2283609576427256
CWE83,963,108,1071,0.11214953271028037
CWE81,963,108,1071,0.11214953271028037
CWE601,963,108,1071,0.11214953271028037
CWE563,708,4,712,0.005649717514124294
CWE476,473,212,685,0.44820295983086683
CWE259,360,0,360,0.0
CWE398,121,225,346,1.859504132231405
CWE506,115,90,205,0.782608695652174
CWE256,131,64,195,0.48854961832061067
CWE315,144,40,184,0.2777777777777778
CWE511,51,90,141,1.7647058823529411
CWE193,36,105,141,2.9166666666666665
CWE328,141,0,141,0.0
CWE681,51,90,141,1.7647058823529411
CWE477,39,91,130,2.3333333333333335
CWE510,66,60,126,0.9090909090909091
CWE321,99,21,120,0.21212121212121213
CWE566,99,12,111,0.12121212121212122
CWE396,34,60,94,1.7647058823529411
CWE209,0,94,94,
CWE459,34,60,94,1.7647058823529411
CWE390,0,94,94,
CWE327,34,60,94,1.7647058823529411
CWE546,15,75,90,5.0
CWE325,21,60,81,2.857142857142857
CWE483,19,32,51,1.6842105263157894
CWE586,17,31,48,1.8235294117647058
CWE759,17,30,47,1.7647058823529411
CWE615,17,30,47,1.7647058823529411
CWE614,17,30,47,1.7647058823529411
CWE613,17,30,47,1.7647058823529411
CWE760,17,30,47,1.7647058823529411
CWE605,17,30,47,1.7647058823529411
CWE336,17,30,47,1.7647058823529411
CWE598,17,30,47,1.7647058823529411
CWE597,17,30,47,1.7647058823529411
CWE226,17,30,47,1.7647058823529411
CWE572,2,45,47,22.5
CWE329,17,30,47,1.7647058823529411
CWE584,0,47,47,
CWE484,17,30,47,1.7647058823529411
CWE395,17,30,47,1.7647058823529411
CWE253,17,30,47,1.7647058823529411
CWE252,17,30,47,1.7647058823529411
CWE478,0,47,47,
CWE535,17,30,47,1.7647058823529411
CWE481,17,30,47,1.7647058823529411
CWE534,17,30,47,1.7647058823529411
CWE533,17,30,47,1.7647058823529411
CWE482,17,30,47,1.7647058823529411
CWE549,17,30,47,1.7647058823529411
CWE523,17,30,47,1.7647058823529411
CWE114,17,30,47,1.7647058823529411
CWE486,17,30,47,1.7647058823529411
CWE378,17,29,46,1.7058823529411764
CWE379,16,29,45,1.8125
CWE338,5,32,37,6.4
CWE617,4,31,35,7.75
CWE526,4,30,34,7.5
CWE382,4,30,34,7.5
CWE383,32,0,32,0.0
CWE833,5,27,32,5.4
CWE539,3,16,19,5.333333333333333
CWE698,3,15,18,5.0
CWE609,2,14,16,7.0
CWE835,5,6,11,1.2
CWE404,5,5,10,1.0
CWE568,0,10,10,
CWE764,2,4,6,2.0
CWE832,1,5,6,5.0
CWE765,0,6,6,
CWE570,2,3,5,1.5
CWE571,2,3,5,1.5
CWE775,0,4,4,
CWE772,0,4,4,
CWE397,2,2,4,1.0
CWE499,1,2,3,2.0
CWE581,1,2,3,2.0
CWE674,1,2,3,2.0
CWE585,0,2,2,
CWE607,0,2,2,
CWE248,0,2,2,
CWE600,0,2,2,
CWE667,0,2,2,
