grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE190,5217,575,5792,0.11021659957830171
CWE191,4238,414,4652,0.0976875884851345
CWE129,3660,144,3804,0.03934426229508197
CWE89,3037,120,3157,0.03951267698386566
CWE369,1782,774,2556,0.43434343434343436
CWE400,1813,225,2038,0.12410369553226697
CWE113,1845,72,1917,0.03902439024390244
CWE789,1598,3,1601,0.0018773466833541927
CWE197,1503,0,1503,0.0
CWE134,932,36,968,0.03862660944206009
CWE80,940,0,940,0.0
CWE606,615,24,639,0.03902439024390244
CWE643,614,24,638,0.03908794788273615
CWE78,627,0,627,0.0
CWE470,627,0,627,0.0
CWE90,627,0,627,0.0
CWE15,627,0,627,0.0
CWE36,614,0,614,0.0
CWE23,607,0,607,0.0
CWE319,526,8,534,0.015209125475285171
CWE83,470,0,470,0.0
CWE81,470,0,470,0.0
CWE601,470,0,470,0.0
CWE690,339,41,380,0.12094395280235988
CWE476,159,70,229,0.44025157232704404
CWE563,220,0,220,0.0
CWE259,159,0,159,0.0
CWE398,102,31,133,0.30392156862745096
CWE506,107,8,115,0.07476635514018691
CWE546,15,60,75,4.0
CWE510,62,4,66,0.06451612903225806
CWE477,34,29,63,0.8529411764705882
CWE256,49,4,53,0.08163265306122448
CWE321,46,7,53,0.15217391304347827
CWE315,44,8,52,0.18181818181818182
CWE681,43,8,51,0.18604651162790697
CWE193,31,20,51,0.6451612903225806
CWE511,43,8,51,0.18604651162790697
CWE328,51,0,51,0.0
CWE566,46,0,46,0.0
CWE390,0,34,34,
CWE325,19,15,34,0.7894736842105263
CWE327,29,5,34,0.1724137931034483
CWE209,0,34,34,
CWE459,30,4,34,0.13333333333333333
CWE396,29,5,34,0.1724137931034483
CWE338,5,25,30,5.0
CWE617,4,25,29,6.25
CWE526,4,24,28,6.0
CWE382,4,24,28,6.0
CWE483,16,3,19,0.1875
CWE586,14,4,18,0.2857142857142857
CWE597,14,3,17,0.21428571428571427
CWE598,14,3,17,0.21428571428571427
CWE613,14,3,17,0.21428571428571427
CWE605,15,2,17,0.13333333333333333
CWE378,15,2,17,0.13333333333333333
CWE614,15,2,17,0.13333333333333333
CWE615,15,2,17,0.13333333333333333
CWE572,2,15,17,7.5
CWE336,14,3,17,0.21428571428571427
CWE759,15,2,17,0.13333333333333333
CWE760,15,2,17,0.13333333333333333
CWE226,15,2,17,0.13333333333333333
CWE329,15,2,17,0.13333333333333333
CWE584,0,17,17,
CWE549,14,3,17,0.21428571428571427
CWE395,15,2,17,0.13333333333333333
CWE481,15,2,17,0.13333333333333333
CWE484,14,3,17,0.21428571428571427
CWE114,14,3,17,0.21428571428571427
CWE523,14,3,17,0.21428571428571427
CWE533,14,3,17,0.21428571428571427
CWE534,15,2,17,0.13333333333333333
CWE535,14,3,17,0.21428571428571427
CWE482,14,3,17,0.21428571428571427
CWE478,0,17,17,
CWE253,14,3,17,0.21428571428571427
CWE252,15,2,17,0.13333333333333333
CWE486,14,3,17,0.21428571428571427
CWE379,14,2,16,0.14285714285714285
CWE383,16,0,16,0.0
CWE698,3,12,15,4.0
CWE539,3,12,15,4.0
CWE833,3,3,6,1.0
CWE835,5,1,6,0.2
CWE404,5,0,5,0.0
CWE568,0,4,4,
CWE499,1,2,3,2.0
CWE571,2,1,3,0.5
CWE570,2,1,3,0.5
CWE581,1,2,3,2.0
CWE765,0,2,2,
CWE772,0,2,2,
CWE775,0,2,2,
CWE609,0,2,2,
CWE764,1,1,2,1.0
CWE397,2,0,2,0.0
CWE832,1,1,2,1.0
CWE674,1,1,2,1.0
CWE607,0,2,2,
CWE248,0,1,1,
CWE600,0,1,1,
CWE667,0,1,1,
CWE585,0,1,1,
