rid_i,rid_j,hamming,similarity
1,47,0,1.0
1,86,0,1.0
2,17,0,1.0
2,23,0,1.0
5,16,0,1.0
5,37,0,1.0
6,27,0,1.0
7,20,0,1.0
7,31,0,1.0
7,36,0,1.0
7,40,0,1.0
7,44,0,1.0
7,80,0,1.0
7,89,0,1.0
12,21,0,1.0
12,48,0,1.0
13,34,0,1.0
13,43,0,1.0
14,19,0,1.0
14,32,0,1.0
15,29,0,1.0
15,38,0,1.0
15,46,0,1.0
15,50,0,1.0
15,58,0,1.0
15,61,0,1.0
15,67,0,1.0
15,74,0,1.0
15,87,0,1.0
15,94,0,1.0
15,97,0,1.0
16,37,0,1.0
17,23,0,1.0
19,32,0,1.0
20,31,0,1.0
20,36,0,1.0
20,40,0,1.0
20,44,0,1.0
20,80,0,1.0
20,89,0,1.0
21,48,0,1.0
24,51,0,1.0
25,28,0,1.0
26,35,0,1.0
26,41,0,1.0
26,63,0,1.0
26,84,0,1.0
29,38,0,1.0
29,46,0,1.0
29,50,0,1.0
29,58,0,1.0
29,61,0,1.0
29,67,0,1.0
29,74,0,1.0
29,87,0,1.0
29,94,0,1.0
29,97,0,1.0
31,36,0,1.0
31,40,0,1.0
31,44,0,1.0
31,80,0,1.0
31,89,0,1.0
34,43,0,1.0
35,41,0,1.0
35,63,0,1.0
35,84,0,1.0
36,40,0,1.0
36,44,0,1.0
36,80,0,1.0
36,89,0,1.0
38,46,0,1.0
38,50,0,1.0
38,58,0,1.0
38,61,0,1.0
38,67,0,1.0
38,74,0,1.0
38,87,0,1.0
38,94,0,1.0
38,97,0,1.0
40,44,0,1.0
40,80,0,1.0
40,89,0,1.0
41,63,0,1.0
41,84,0,1.0
44,80,0,1.0
44,89,0,1.0
46,50,0,1.0
46,58,0,1.0
46,61,0,1.0
46,67,0,1.0
46,74,0,1.0
46,87,0,1.0
46,94,0,1.0
46,97,0,1.0
47,86,0,1.0
50,58,0,1.0
50,61,0,1.0
50,67,0,1.0
50,74,0,1.0
50,87,0,1.0
50,94,0,1.0
50,97,0,1.0
52,73,0,1.0
52,82,0,1.0
52,90,0,1.0
55,59,0,1.0
55,65,0,1.0
58,61,0,1.0
58,67,0,1.0
58,74,0,1.0
58,87,0,1.0
58,94,0,1.0
58,97,0,1.0
59,65,0,1.0
61,67,0,1.0
61,74,0,1.0
61,87,0,1.0
61,94,0,1.0
61,97,0,1.0
63,84,0,1.0
64,98,0,1.0
67,74,0,1.0
67,87,0,1.0
67,94,0,1.0
67,97,0,1.0
73,82,0,1.0
