grp,Vulnerable,Non_vulnerable,Total,Neg_to_Pos_Ratio
CWE190,11467,2376,13843,0.20720327897444843
CWE197,9870,1080,10950,0.1094224924012158
CWE129,8642,1488,10130,0.17218236519324231
CWE191,7903,1584,9487,0.20043021637352904
CWE369,4854,1108,5962,0.22826534816646066
CWE400,4844,396,5240,0.08175061932287365
CWE89,4197,648,4845,0.15439599714081487
CWE113,3513,486,3999,0.13834329632792486
CWE789,2417,318,2735,0.13156805957798925
CWE134,1722,112,1834,0.06504065040650407
CWE313,1530,240,1770,0.1568627450980392
CWE643,1530,240,1770,0.1568627450980392
CWE606,1530,240,1770,0.1568627450980392
CWE314,1530,240,1770,0.1568627450980392
CWE94,1530,240,1770,0.1568627450980392
CWE117,1530,240,1770,0.1568627450980392
CWE80,1342,144,1486,0.10730253353204174
CWE15,1056,80,1136,0.07575757575757576
CWE90,1056,80,1136,0.07575757575757576
CWE23,1056,80,1136,0.07575757575757576
CWE36,1056,80,1136,0.07575757575757576
CWE78,1056,80,1136,0.07575757575757576
CWE601,959,72,1031,0.07507820646506778
CWE81,851,72,923,0.0846063454759107
CWE427,674,210,884,0.3115727002967359
CWE83,671,72,743,0.10730253353204174
CWE470,671,72,743,0.10730253353204174
CWE319,713,24,737,0.033660589060308554
CWE563,660,0,660,0.0
CWE476,415,185,600,0.4457831325301205
CWE690,368,62,430,0.16847826086956522
CWE398,117,222,339,1.8974358974358974
CWE259,220,0,220,0.0
CWE675,190,14,204,0.07368421052631578
CWE256,134,64,198,0.47761194029850745
CWE315,125,39,164,0.312
CWE506,82,60,142,0.7317073170731707
CWE681,51,90,141,1.7647058823529411
CWE511,51,89,140,1.7450980392156863
CWE193,35,104,139,2.9714285714285715
CWE510,66,60,126,0.9090909090909091
CWE321,95,21,116,0.22105263157894736
CWE477,34,74,108,2.176470588235294
CWE566,95,8,103,0.08421052631578947
CWE390,0,94,94,
CWE327,34,60,94,1.7647058823529411
CWE209,0,94,94,
CWE325,17,77,94,4.529411764705882
CWE328,94,0,94,0.0
CWE546,15,75,90,5.0
CWE284,6,60,66,10.0
CWE483,19,32,51,1.6842105263157894
CWE760,17,30,47,1.7647058823529411
CWE759,17,30,47,1.7647058823529411
CWE535,17,30,47,1.7647058823529411
CWE532,17,30,47,1.7647058823529411
CWE605,17,30,47,1.7647058823529411
CWE253,17,30,47,1.7647058823529411
CWE523,17,30,47,1.7647058823529411
CWE486,17,30,47,1.7647058823529411
CWE426,17,30,47,1.7647058823529411
CWE261,17,30,47,1.7647058823529411
CWE252,0,47,47,
CWE329,17,30,47,1.7647058823529411
CWE350,17,30,47,1.7647058823529411
CWE378,17,30,47,1.7647058823529411
CWE379,17,30,47,1.7647058823529411
CWE395,17,30,47,1.7647058823529411
CWE396,17,30,47,1.7647058823529411
CWE226,2,45,47,22.5
CWE478,0,47,47,
CWE482,17,30,47,1.7647058823529411
CWE481,17,30,47,1.7647058823529411
CWE459,0,47,47,
CWE440,16,30,46,1.875
CWE614,16,30,46,1.875
CWE615,17,29,46,1.7058823529411764
CWE598,16,29,45,1.8125
CWE336,16,29,45,1.8125
CWE549,16,29,45,1.8125
CWE613,16,29,45,1.8125
CWE617,4,31,35,7.75
CWE114,3,30,33,10.0
CWE338,2,30,32,15.0
CWE539,3,16,19,5.333333333333333
CWE698,3,15,18,5.0
CWE526,2,15,17,7.5
CWE835,6,7,13,1.1666666666666667
CWE404,4,4,8,1.0
CWE609,1,4,5,4.0
CWE571,2,3,5,1.5
CWE570,2,3,5,1.5
CWE772,0,4,4,
CWE366,0,3,3,
CWE674,1,2,3,2.0
CWE775,0,2,2,
CWE765,0,2,2,
CWE248,0,2,2,
CWE832,1,1,2,1.0
CWE833,1,1,2,1.0
CWE764,1,1,2,1.0
CWE667,0,2,2,
CWE397,0,2,2,
