k,test_auroc_mean,test_auroc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,ood_auroc_mean,ood_auroc_std,ood_f1_mean,ood_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std
1,0.9995252370625506,0.000459846154049,0.9970993660493876,0.0012263843609874,0.9967309556144711,0.0020033750823708783,0.9974709784411274,0.0014851241033992744,0.4995199758676653,0.0146356622036411,0.5648325877953092,0.0643258194990859,0.5030063202824732,0.007749441648039188,0.6741244011234099,0.18550361547574956
2,0.9989649892160688,0.0007781577626921,0.993907655319584,0.00264905871477,0.9950016579460579,0.0030556420762913564,0.992826780021254,0.004077731477668235,0.5026810978285348,0.0160527631504544,0.5554632391047474,0.108610419785237,0.506587686281845,0.010285030168856941,0.6794110358499916,0.2550908850876827
3,0.9991548689099704,0.000846196467433,0.9945107965832234,0.0026340264602581,0.9947473757666812,0.005573114084125734,0.994297635605007,0.0027779787030166006,0.4992620992060631,0.0202839997739507,0.5722890999809811,0.0970647124225043,0.5065252149347451,0.011171662535675414,0.7220758301668594,0.25820238270669293
4,0.997745223730518,0.001280784988403,0.9896172759986795,0.0049741497792206,0.9883813408894209,0.005616704591634575,0.9908823529411765,0.006889230919407429,0.49257105764546,0.0134758682458341,0.5851547907535257,0.1259621280165649,0.5011329275136843,0.0067002126516463095,0.7845118123244672,0.265302507435822
5,0.9942254212732028,0.0048275446619706,0.9827907645294977,0.0064831950528612,0.9854445861583905,0.008466483940793459,0.9801994301994302,0.00813601748675347,0.4982776557024547,0.0174958276612427,0.5264824732963514,0.1344054180554798,0.5038190744999111,0.012725327951001604,0.6313687427721791,0.27562030754475103
6,0.9941246153846152,0.002751082555436,0.9785720242367052,0.0089075829445086,0.9757332439959436,0.013343514843277641,0.9815999999999999,0.012675712374873714,0.4880713768902804,0.0130793494013142,0.5690350323579506,0.0898993609976387,0.5000259868463828,0.012490838938101033,0.7047579712539237,0.19382947124401465
7,0.9871424129353232,0.0127257161238736,0.9614515920258262,0.022164070703396,0.9673521707988175,0.022796492596764747,0.955952380952381,0.028993848914102515,0.4990205614352802,0.0209155598669197,0.5026918796144871,0.1712297112499815,0.5069792367675849,0.017617557422329927,0.6112175780604658,0.31530814357478776
8,0.9714506172839508,0.0111712715555478,0.9239100662888275,0.0259380949157398,0.9327515670600629,0.028183338343769244,0.9162037037037039,0.03910814918047867,0.497527483937865,0.01413171484514,0.4789971167235937,0.1080992070676103,0.5036664859117378,0.01930969812170268,0.49674954567982815,0.1750656855046452
9,0.92538618809632,0.0289722997562801,0.8517911858386356,0.0404112243390143,0.8542753066979042,0.0516856502494406,0.8507042253521127,0.045098212336969104,0.4892655628148284,0.0152947552439467,0.5004155333618241,0.0797487255506295,0.49497035200476025,0.013185345210476634,0.5368660168511482,0.18409227466487682
10,0.80765595463138,0.0986983160562888,0.759006993100843,0.0676297147484043,0.7237703724404484,0.10078053012755324,0.8184782608695652,0.10841496940682793,0.4913558637713905,0.01967121542064,0.5100612105228903,0.1068436089462963,0.50083794706035,0.017588392221686993,0.5759953741946142,0.2515439563562199
11,0.8206896551724137,0.1316572884739565,0.7958333651834264,0.0585794715918042,0.7281587927142184,0.12704684843537467,0.9069444444444444,0.07281303552009366,0.5070685795900189,0.0307641969749785,0.532271272710343,0.1577279875466816,0.5044196084812641,0.016649810469030635,0.6662564017842392,0.3075204694476618
12,0.7290158371040725,0.1326506277289133,0.7535063289140701,0.0550226811266574,0.698968598283588,0.06802548944148898,0.8423076923076923,0.14439599173505407,0.5009906418491933,0.0168322280480882,0.5972794333645658,0.0835577360687347,0.501293522611064,0.007208512583677125,0.7820047910127209,0.2187231212905692
