k,seed,split,auroc,f1,accuracy,precision,recall,loss
1,1,test,0.656632,0.566363,0.604631,0.624736,0.517967,0.653845
1,1,ood,0.400539,0.580650,0.474667,0.483172,0.727400,0.746742
1,10,test,0.672582,0.666156,0.619048,0.591434,0.762489,0.639705
1,10,ood,0.573266,0.666756,0.503000,0.501513,0.994400,1.007996
1,11,test,0.645196,0.628133,0.598078,0.582896,0.680982,0.656560
1,11,ood,0.331884,0.670570,0.512367,0.506308,0.992600,0.802155
1,12,test,0.665092,0.675872,0.589777,0.557517,0.858019,0.656969
1,12,ood,0.364705,0.664498,0.498133,0.499063,0.994000,0.776269
1,13,test,0.647446,0.669808,0.602010,0.571075,0.809816,0.662893
1,13,ood,0.697132,0.660520,0.493133,0.496543,0.986200,0.785786
1,14,test,0.630919,0.600000,0.591088,0.585488,0.615250,0.661637
1,14,ood,0.786891,0.666859,0.500500,0.500250,0.999867,0.677695
1,15,test,0.653315,0.593250,0.599825,0.601260,0.585451,0.655380
1,15,ood,0.578315,0.611104,0.498233,0.498882,0.788467,0.710495
1,16,test,0.667615,0.623549,0.603320,0.591660,0.659071,0.644184
1,16,ood,0.483437,0.666667,0.500000,0.500000,1.000000,1.051672
1,17,test,0.667504,0.613577,0.612058,0.609334,0.617879,0.655925
1,17,ood,0.218290,0.666667,0.500000,0.500000,1.000000,2.993514
1,18,test,0.650906,0.663462,0.602446,0.573896,0.786152,0.653751
1,18,ood,0.583390,0.651036,0.490967,0.495289,0.949667,0.708925
1,19,test,0.642955,0.603611,0.597204,0.592405,0.615250,0.655541
1,19,ood,0.467437,0.605714,0.510967,0.507407,0.751267,0.734761
1,2,test,0.674229,0.634973,0.614242,0.600939,0.673094,0.645047
1,2,ood,0.346583,0.661626,0.497300,0.498630,0.982933,1.180654
1,20,test,0.653162,0.672774,0.609873,0.578086,0.804557,0.656077
1,20,ood,0.470050,0.617197,0.491000,0.494576,0.820667,0.728890
1,3,test,0.631432,0.578050,0.578419,0.576789,0.579316,0.662111
1,3,ood,0.795969,0.724515,0.631933,0.578901,0.968000,0.653465
1,4,test,0.637300,0.569217,0.586719,0.592417,0.547765,0.660263
1,4,ood,0.527650,0.655484,0.497500,0.498696,0.956067,0.734932
1,5,test,0.641242,0.623408,0.586719,0.571116,0.686240,0.658779
1,5,ood,0.609007,0.666667,0.500000,0.500000,1.000000,0.810564
1,6,test,0.665823,0.480000,0.591088,0.655539,0.378615,0.654849
1,6,ood,0.480314,0.566661,0.457200,0.471565,0.709800,0.842105
1,7,test,0.648862,0.599913,0.596767,0.593482,0.606486,0.665380
1,7,ood,0.837832,0.846232,0.827533,0.763460,0.949133,0.555719
1,8,test,0.678555,0.549873,0.611621,0.651079,0.475898,0.640229
1,8,ood,0.471441,0.666222,0.499600,0.499800,0.998800,1.460187
1,9,test,0.641345,0.612658,0.598952,0.590724,0.636284,0.660139
1,9,ood,0.504366,0.590885,0.459900,0.475554,0.780067,0.703355
2,1,test,0.677648,0.627775,0.613821,0.591468,0.668831,0.649544
2,1,ood,0.532037,0.666667,0.500000,0.500000,1.000000,1.693540
2,10,test,0.674162,0.590211,0.614273,0.611332,0.570501,0.638456
2,10,ood,0.807515,0.666667,0.500000,0.500000,1.000000,2.235474
2,11,test,0.620945,0.644080,0.568202,0.537935,0.802412,0.679160
2,11,ood,0.607905,0.664603,0.497967,0.498980,0.994800,0.805023
2,12,test,0.627902,0.606586,0.589883,0.569106,0.649351,0.669367
2,12,ood,0.723823,0.665896,0.499133,0.499566,0.998267,0.835554
2,13,test,0.678666,0.624667,0.617886,0.598639,0.653061,0.638021
2,13,ood,0.712099,0.666919,0.500567,0.500283,1.000000,0.961888
2,14,test,0.676313,0.665582,0.628726,0.592754,0.758813,0.643216
2,14,ood,0.557404,0.674528,0.520667,0.510623,0.993400,0.830578
2,15,test,0.678531,0.650000,0.620596,0.590015,0.723562,0.639654
2,15,ood,0.618777,0.670864,0.510333,0.505231,0.998067,0.906385
2,16,test,0.646648,0.594015,0.589431,0.572782,0.616883,0.673519
2,16,ood,0.859522,0.832005,0.808933,0.742364,0.946267,0.544785
2,17,test,0.675890,0.666406,0.614724,0.576065,0.790353,0.664152
2,17,ood,0.436750,0.666667,0.500000,0.500000,1.000000,1.633415
2,18,test,0.654578,0.612423,0.599819,0.579470,0.649351,0.663564
