k,test_auroc_mean,test_auroc_std,test_f1_mean,test_f1_std,ood_auroc_mean,ood_auroc_std,ood_f1_mean,ood_f1_std
1,0.6536055732333335,0.013991534354275637,0.6112323496313838,0.04732869582736633,0.5264248495555555,0.15856290042675353,0.6553264236356332,0.05738602747602171
2,0.6591955752371372,0.020998508704490406,0.6283929765131253,0.028982293779991463,0.6246689755555556,0.15074313328123964,0.6819139447732336,0.05357719873708516
3,0.6786383371441536,0.017422822305203315,0.631917902152159,0.031098987664574033,0.6101733354444445,0.16687169157836965,0.6596171996253939,0.04417951171920241
4,0.65578165374677,0.01401393787684234,0.6298616328319683,0.041687526586500843,0.5900810301111111,0.17430873732837981,0.6815462784384959,0.062044318649337134
5,0.6533571303244031,0.02019936495221202,0.6274984314542912,0.042646131733829584,0.5775320486666666,0.1921743406171986,0.6624565380115411,0.05047856150162566
6,0.6530386009471651,0.02248804666545575,0.6130386977717749,0.046694761111947154,0.5790906866666665,0.20626505330566708,0.6627011169293962,0.10957045642456818
7,0.6644532580401888,0.01444026545327175,0.60617023769812,0.04194472141841377,0.5863457276666668,0.20691129302064518,0.6722747194950943,0.07291271473967548
8,0.6491257132880988,0.0255379058033634,0.6421044832712668,0.03959879998205619,0.549146361222222,0.19592542804882776,0.6600490336994688,0.08547236692586616
9,0.6361412554122723,0.01957683587206075,0.6113994688168858,0.030408251733587962,0.6663822797777778,0.20896607244418564,0.6816466025649196,0.11978210295822632
10,0.6304530195097623,0.022445289034445443,0.610036424493285,0.031101277241375153,0.6397151905555555,0.15769111936498906,0.6585489580299908,0.07928880534030501
11,0.6208235129068462,0.020250850612623134,0.5686836344272215,0.05628750132111461,0.6300635295555554,0.1694211324754339,0.6203424036972548,0.09140402502909584
12,0.6094573061525496,0.035720687077570146,0.5436439900965071,0.19061164320239693,0.713286371,0.17958308046618507,0.6102509027500648,0.20652413745384635
