timestamp,source_db,k_value,before_count,after_count,removed_count,removal_percentage,execution_time_seconds
2025-12-31T15:24:17.349317,bugsinpy,1,39858,15945,23913,60.0,21.13
2025-12-31T15:24:38.371251,bugsinpy,2,39858,15427,24431,61.3,20.99
2025-12-31T15:24:59.225284,bugsinpy,3,39858,14976,24882,62.43,20.83
2025-12-31T15:25:19.738393,bugsinpy,4,39858,14479,25379,63.67,20.48
2025-12-31T15:25:40.004568,bugsinpy,5,39858,13963,25895,64.97,20.23
2025-12-31T15:25:59.864709,bugsinpy,6,39858,13458,26400,66.24,19.83
2025-12-31T15:26:19.187191,bugsinpy,7,39858,12849,27009,67.76,19.29
2025-12-31T15:26:37.977504,bugsinpy,8,39858,12173,27685,69.46,18.76
2025-12-31T15:26:55.988071,bugsinpy,9,39858,11417,28441,71.36,17.98
2025-12-31T15:27:13.139581,bugsinpy,10,39858,10515,29343,73.62,17.12
2025-12-31T15:27:29.280684,bugsinpy,11,39858,9550,30308,76.04,16.11
2025-12-31T15:27:44.281103,bugsinpy,12,39858,8379,31479,78.98,14.97
2025-12-31T15:27:58.095676,bugsinpy,13,39858,7106,32752,82.17,13.79
2025-12-31T15:28:10.813194,bugsinpy,14,39858,5726,34132,85.63,12.69
2025-12-31T15:28:22.557233,bugsinpy,15,39858,4383,35475,89.0,11.72
2025-12-31T15:28:54.103071,devign,1,27318,26091,1227,4.49,31.4
2025-12-31T15:29:25.142845,devign,2,27318,25268,2050,7.5,31.01
2025-12-31T15:29:55.744654,devign,3,27318,24401,2917,10.68,30.55
2025-12-31T15:30:25.518230,devign,4,27318,23260,4058,14.85,29.73
2025-12-31T15:30:54.380312,devign,5,27318,21987,5331,19.51,28.81
2025-12-31T15:31:22.060865,devign,6,27318,20415,6903,25.27,27.65
2025-12-31T15:31:48.343268,devign,7,27318,18578,8740,31.99,26.24
2025-12-31T15:32:13.196358,devign,8,27318,16427,10891,39.87,24.8
2025-12-31T15:32:36.549633,devign,9,27318,14266,13052,47.78,23.32
2025-12-31T15:32:58.656631,devign,10,27318,11998,15320,56.08,22.08
2025-12-31T15:33:19.626948,devign,11,27318,9850,17468,63.94,20.93
2025-12-31T15:33:39.610053,devign,12,27318,7871,19447,71.19,19.95
2025-12-31T15:33:58.937124,devign,13,27318,6086,21232,77.72,19.3
2025-12-31T15:34:17.882793,devign,14,27318,4520,22798,83.45,18.91
2025-12-31T15:34:36.339472,devign,15,27318,3277,24041,88.0,18.43
2025-12-31T15:42:26.509868,juliet_c,1,278290,105107,173183,62.23,469.81
2025-12-31T15:48:14.486991,juliet_c,2,278290,78828,199462,71.67,347.81
2025-12-31T15:52:29.620320,juliet_c,3,278290,57869,220421,79.21,254.97
2025-12-31T15:55:28.928545,juliet_c,4,278290,39825,238465,85.69,179.14
2025-12-31T15:57:37.289986,juliet_c,5,278290,27021,251269,90.29,128.21
2025-12-31T15:59:09.459100,juliet_c,6,278290,17750,260540,93.62,92.01
2025-12-31T16:00:20.840704,juliet_c,7,278290,11625,266665,95.82,71.17
2025-12-31T16:01:19.856695,juliet_c,8,278290,7387,270903,97.35,58.86
2025-12-31T16:02:12.070322,juliet_c,9,278290,4820,273470,98.27,52.06
2025-12-31T16:03:00.086460,juliet_c,10,278290,3117,275173,98.88,47.86
2025-12-31T16:03:45.881019,juliet_c,11,278290,2020,276270,99.27,45.64
2025-12-31T16:04:31.676514,juliet_c,12,278290,1296,276994,99.53,45.62
2025-12-31T16:05:16.415845,juliet_c,13,278290,882,277408,99.68,44.55
2025-12-31T16:06:00.364945,juliet_c,14,278290,565,277725,99.8,43.8
2025-12-31T16:06:44.109999,juliet_c,15,278290,390,277900,99.86,43.58
2025-12-31T16:08:15.473928,juliet_java,1,120612,29645,90967,75.42,90.96
2025-12-31T16:09:24.331816,juliet_java,2,120612,19895,100717,83.5,68.71
2025-12-31T16:10:19.846572,juliet_java,3,120612,13662,106950,88.67,55.35
2025-12-31T16:11:06.820778,juliet_java,4,120612,9109,111503,92.45,46.81
2025-12-31T16:11:48.679307,juliet_java,5,120612,6146,114466,94.9,41.75
2025-12-31T16:12:27.763246,juliet_java,6,120612,4095,116517,96.6,39.0
2025-12-31T16:13:04.624635,juliet_java,7,120612,2816,117796,97.67,36.78
2025-12-31T16:13:40.804152,juliet_java,8,120612,1881,118731,98.44,36.07
2025-12-31T16:14:15.867115,juliet_java,9,120612,1337,119275,98.89,34.9
2025-12-31T16:14:51.337683,juliet_java,10,120612,905,119707,99.25,35.3
2025-12-31T16:15:26.107390,juliet_java,11,120612,639,119973,99.47,34.62
2025-12-31T16:16:00.552404,juliet_java,12,120612,435,120177,99.64,34.29
2025-12-31T16:16:34.663405,juliet_java,13,120612,307,120305,99.75,34.0
2025-12-31T16:17:09.269340,juliet_java,14,120612,224,120388,99.81,34.51
2025-12-31T16:17:44.129841,juliet_java,15,120612,166,120446,99.86,34.73
2025-12-31T16:18:54.264057,juliet_csharp,1,97950,28909,69041,70.49,69.94
2025-12-31T16:19:45.162157,juliet_csharp,2,97950,18661,79289,80.95,50.81
2025-12-31T16:20:24.561626,juliet_csharp,3,97950,12512,85438,87.23,39.31
2025-12-31T16:20:56.394941,juliet_csharp,4,97950,8059,89891,91.77,31.75
2025-12-31T16:21:24.060300,juliet_csharp,5,97950,5458,92492,94.43,27.59
2025-12-31T16:21:48.959557,juliet_csharp,6,97950,3614,94336,96.31,24.8
2025-12-31T16:22:12.300657,juliet_csharp,7,97950,2510,95440,97.44,23.26
2025-12-31T16:22:34.633517,juliet_csharp,8,97950,1717,96233,98.25,22.28
2025-12-31T16:22:56.672018,juliet_csharp,9,97950,1188,96762,98.79,21.98
2025-12-31T16:23:18.523097,juliet_csharp,10,97950,831,97119,99.15,21.76
2025-12-31T16:23:40.307517,juliet_csharp,11,97950,598,97352,99.39,21.71
2025-12-31T16:24:02.049675,juliet_csharp,12,97950,421,97529,99.57,21.64
2025-12-31T16:24:23.667455,juliet_csharp,13,97950,316,97634,99.68,21.54
2025-12-31T16:24:45.668725,juliet_csharp,14,97950,220,97730,99.78,21.9
2025-12-31T16:25:07.693650,juliet_csharp,15,97950,161,97789,99.84,21.94
